Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
Dome Deco,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T25/W40,,Кресло закруглённой формы Dome Deco,розовый,H70 X W66 X L66 CM,"дерево, ткань",1,шт,45045,"ткань ""Warlock"", деревяные ножки",современный
Prianera,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,FLORENCE,,"Кресло качалка ""Florence"" Prianera",синий, H104 X W75 X L104 CM,"металл, ткань",1,шт,63149,"Кресло качалка на хромированых ногах, обитое синей тканью",современный
Dome Deco,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T16EB/L5-LBL,F15T16EBL5.jpg,"Кресло низкое ""Baron"" Dome Deco","коричневый, голубой"," H74 X W73,5 X L66 CM","дерево, ткань",1,шт,47775,"Кресло ""Барон"" без подлакотников. мдф, винир, дерево дуб, Ebony-largo",современный
Durieux,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,DT18/LIVER,DT18.jpg,Кресло Оксфорд Durieux,,H80 X W70 X L70 CM,"дерево, ткань",1,шт,17028,"Кресло с подлокотниками в трюфельном (серо-коричневом) цвете, ножки из сосны, черного цвета.",классика
Dome Deco,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T23/R1,F15T23R1.jpg,Кресло с пуговицами Dome Deco,серый,H83 X W67 X L75 CM,"металл, ткань",1,шт,45045,"Кресло с высокими подлокотниками, в ткани ""Rover"" (59% полиэстер, 41% коттон). Ножки черные, металлические.",современный
Dome Deco,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Спальня, Столовая & Кухня, Мебель",Стулья & Кресла,F15-T24/B9,F15T24B9.jpg,Кресло угловое Dome Deco,коричневый,H83 X W83 X L83 CM,"металл, ткань",2,шт,50050,"Кресло с высокими подлокотниками, в ткани ""Brigadier"" (59% полиэстер, 41% коттон). Ножки черные, металлические",современный
Domicil,"Мебель, Столовая & Кухня","Гостиная, Кабинет, Столовая & Кухня, Мебель",Стулья & Кресла,ROO-SC-HOCH-D07,,Чехол Domicil,,,ткань,1,шт,15750,,классика
BLOOMINGVILE,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Столовая & Кухня, Мебель",Стулья & Кресла,838055,838055.JPG,Складной стул BLOOMINGVILE,белый,Н42 Х W40 X L40 CM,"бамбук, ткань",4,шт,1260,,традиционный
Durieux,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Столовая & Кухня, Мебель",Стулья & Кресла,D403/BROSSE,D403.jpg,Складной стул Durieux,серый ,H82 X W35 CM,дерево,1,шт,7228,Раскладной стул-лесенка из натурального дерева,традиционный
Durieux,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Столовая & Кухня, Мебель",Стулья & Кресла,D403/VIEUX,D403.jpg,Складной стул Durieux,натуральный,H82 X W35 CM,дерево,2,шт,7228,Раскладной стул-лесенка из натурального дерева,традиционный
Durieux,"Мебель, Столовая & Кухня, Sale","Гостиная, Кабинет, Столовая & Кухня, Мебель",Стулья & Кресла,D403/BLACK ANT,D403.jpg,Складной стул Durieux,черный,H82 X W35 CM,дерево,1,шт,7228,Раскладной стул-лесенка из натурального дерева,традиционный
BLOOMINGVILE,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,904014,904014.jpg,Стул BLOOMINGVILE,натуральный,Н50 Х W20 X L38 CM,дерево,1,шт,10395,Стул табуретка из натурального дерева.,традиционный
BLOOMINGVILE,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,897005,897005.jpg,Стул BLOOMINGVILE,натуральный,Н69 Х W72 X L78 CM,"ротанг, металл",1,шт,8820,"Кресло из натуральго ротанга, с металлическими ножками черного цвета.",традиционный
