Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
Mobex,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",COMODA 5S,,Комод La Rochelle Mob,серый,L562xH1009,дерево,"1,000",шт,"37 975,00",Комод La Rochelle Mob,традиционный
Riviera Maison,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",136880,,"Комод ""Звезда родилась"" RM",белый,L115 X W55 X H90 CM,дерево,"1,000",шт,"85 247,00","Комод ""Звезда родилась"", размер 115 x 55 x 90 cm, Переработанная твердая древесина, не токсическая выкраска, ротанговые корзины",традиционный
Rvastley,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",8002,8002.jpg,Комод RVA,синий,L78 X W71 X H46 CM,"дерево, стекло","2,000",шт,"53 661,00","Комод из трех выдвежных ящиков, в стиле 1950-х годов, темно серого цвета, фасад стеклянный, по периметру  скошенное стекло с темной отделкой из орехового дерева",современный
Rvastley,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",8126A,8126.jpg,Комод RVA,белый,L78 X W71 X H46 CM,"дерево, стекло","2,000",шт,"53 661,00","Комод из трех выдвежных ящиков, цвета морозной слоновой кости, фасад стеклянный, по периметру  скошенное стекло с темной отделкой из орехового дерева",современный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS239 (P025A-P029),PS239-P029--P030A.jpg,Комод Galbee Szel,"бежевый, патина бордо",,дерево,"1,000",шт,"36 138,00",Комод Galbee Szel,традиционный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS448(P008),PS448-P030.jpg,Комод Szel,синий,L80 X W45 X H90 CM,дерево,"1,000",шт,"25 113,00",Комод Szel,традиционный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS221 (P004),PS221-P023.jpg,Комод Szel,белый,L140 X W60 X H56 CM,дерево,"1,000",шт,"15 435,00",Комод Szel,традиционный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS221 (P051),PS221-P028 (1 of 2).jpg,Комод Szel,синий,L140 X W60 X H56 CM,дерево,"1,000",шт,"15 435,00",Комод Szel,традиционный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS151-TOP OAK (P038-P058),ps151-TopP002-P030.jpg,Комод Szel,оливковый,L100 X W50 X H100 CM,дерево,"1,000",шт,"26 338,00",Комод Szel,традиционный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS572(P004),PS572-P023_02.jpg,Комод Szel,белый,L85 X W37 X H120 CM,дерево,"1,000",шт,"20 458,00",Комод Szel,традиционный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS357(P003A-P029),PS357-P004--P003A (1 of 5).jpg,Комод Szel,"черный, красный патина",,дерево,"1,000",шт,"24 745,00",Комод Szel,традиционный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS417(P067-P004),PS417-P022.jpg,Тумба TV Szel,"белый, натуральный",L180 X W46 X H56 CM,дерево,"1,000",шт,"25 603,00",Тумба TV Szel,традиционный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS564Pine(P004-P037),PS564-OakP035-PineP003.jpg,Тумба TV Szel,"белый, натуральный",L120 X W40 X H50 CM,дерево,"1,000",шт,"24 868,00",Тумба TV Szel,традиционный
Szel,"Мебель, Спальня & Ванная","ГОСТИНАЯ, ВАННАЯ, КАБИНЕТ, СПАЛЬНЯ, СТОЛОВАЯ & КУХНЯ, МЕБЕЛЬ ДЛЯ СПАЛЬНИ","Комоды, ТВ тумбы",PS565Pine(P004-P037),PS565-OakP035-PineP003.jpg,Тумба TV Szel,"белый, натуральный",L180 X W46 X H56 CM,дерево,"1,000",шт,"35 648,00",Тумба TV Szel,традиционный
