Производитель,Группа товаров,Категория,Подгруппа товаров,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
BLOOMINGVILE,Декор & Разное,Оригинальные,Зеркала,27160005,27160005.jpg,Зеркало двухсторонее BL,медный,D20 X H35 CM,"металл, зеркало",5,шт,2730,"Зеркало двухсторонее, с одной стороны увеличительное",традиционный
BLOOMINGVILE,Декор & Разное,Настенные,Зеркала,908005,908005.JPG,Зеркало в раме  BL,натуральный,H170 X W50 X L5 CM,"дерево, зеркало",4,шт,33495,Зеркало настенное в деревянной раме,традиционный
COTE TABLE,Декор & Разное,Настенные,Зеркала,23779,23779_VAR.jpg,Зеркало СT,белый,H87 X W67 CM,"дерево, зеркало",1,шт,7455,Зеркало овальное в белой деревяной раме,традиционный
COTE TABLE,Декор & Разное,"Настенные, Оригинальные",Зеркала,25646,25646_STD.jpg,Зеркало СТ,серебряный,H27.5 X W82 X L2 CM,"металл, зеркало",3,шт,5460,Зеркало настенный декор,традиционный
COTE TABLE,Декор & Разное,"Настенные, Оригинальные",Зеркала,24525,24525_VAR.jpg,Зеркало СТ,серебряный,"Н97 Х W69 X L2,5 CM","металл, зеркало",1,шт,4095,"Зеркало геометрическое, настенный декор",традиционный
COTE TABLE,Декор & Разное,"Настенные, Оригинальные",Зеркала,25647,25647_STD.jpg,Зеркало СТ,серебряный,H27.5 X W110 X L2 CM,"металл, зеркало",2,шт,7455,Зеркало настенный декор,традиционный
COTE TABLE,Декор & Разное,"Настенные, Оригинальные",Зеркала,25648,25648_STD.jpg,Зеркало СТ,серебряный,H27.5 X W137 X L2 CM,"металл, зеркало",1,шт,8820,Зеркало настенный декор,традиционный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-A1/SI,M2A1SI.jpg,Зеркало DD,серебряный,L35 X W28 X H5 CM,"металл, зеркало",6,шт,11375,Зеркало овальное в металической раме,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-W5/SI,M2W5SI.jpg,Зеркало DD,прозрачный,D90 X H2 CM,зеркало,1,шт,25988,Зеркало в зеркале,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-A1/GO,M2A1GO.jpg,Зеркало DD,золотистый,L35 X W28 X H5 CM,"металл, зеркало",2,шт,13125,Зеркало овальное в металической раме,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-A2/GO,M2A2GO.jpg,Зеркало DD,золотистый,L70 X W38 X H6 CM,"металл, зеркало",2,шт,15750,Зеркало овальное в металической раме,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-A2/SI,M2A2SI.jpg,Зеркало DD,серебряный,L70 X W38 CM,"металл, зеркало",6,шт,13650,Зеркало овальное в металической раме,современный
DomeDeco,Декор & Разное,"Настенные, Оригинальные",Зеркала,F7-S3/SI,F7S3SI.jpg,Зеркало DD,серебряный,"D17,5 x H4 см","металл, зеркало",5,шт,1244,"Зеркало декор, композиционный",современный
DomeDeco,Декор & Разное,"Настенные, Оригинальные",Зеркала,F7-G1/GL,,Зеркало DD,прозрачный,L86 x W86 x H3 см,зеркало,2,шт,20475,Зеркало настенный декор,современный
DomeDeco,Декор & Разное,"Настенные, Оригинальные",Зеркала,F7-S1/BLA,,Зеркало DD,черный,D90 X L2 CM,,4,шт,26250,Зеркало настенный декор,современный
DomeDeco,Декор & Разное,"Настенные, Оригинальные",Зеркала,F7-W4/BR,,Зеркало DD,коричневый,D38 CM,"дерево, зеркало",11,шт,2363,Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-S2/BRO,M2-S2BRO.jpg,Зеркало DD,бронзовый,D82 X H10 CM,"металл, зеркало",1,шт,21263,Круглое зеркало,современный
DomeDeco,Декор & Разное,"Настенные, Оригинальные",Зеркала,M4-S2/COP,M4-S2COP.jpg,Зеркало DD,медный,L20 X W17 X H9 CM,"металл, зеркало",1,шт,3145,Зеркало настенный декор,современный
DomeDeco,Декор & Разное,"Настенные, Оригинальные",Зеркала,M4-S2/GRI,M4-S2GRI.jpg,Зеркало DD,серый,L20 X W17 X H9 CM,"металл, зеркало",1,шт,3145,Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-W4/BLA,M2W4BLA.jpg,Зеркало DD,черный,H90 X W75 CM,,1,шт,23625,Зеркало ,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M6-S2/BRO,M6S2BRO.jpg,Зеркало DD,бронзовый,L45 X W190 X H6 CM,"металл, зеркало",1,шт,30975,Зеркало в металлической раме,современный
DomeDeco,Декор & Разное,"Настенные, Оригинальные",Зеркала,F7-G2/GL,,Зеркало DD,прозрачный,,,1,шт,20475,Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-W2/BLA,M2W2BLA.jpg,Зеркало DD,прозрачный,L120 X W80 X H 1.6 CM,,2,шт,16538,Зеркало настенный декор,современный
