Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
Jolipa,Декор & Разное,Подушки,Декоративные подушки,48018,48018.jpg,Подушка HOME SWEET JLP,белый,30X50CM,,"1,000",шт,"875,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,53092,53092.jpg,Подушка JLP,бежевый,40X40CM,,"11,000",шт,"1399,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,50311,50311.jpg,Подушка JLP,"белый, синий",45X45CM,,"4,000",шт,"875,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,96992,96992.jpg,Подушка JLP IVORY,белый,50X50CM,,"4,000",шт,"875,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,48013,48013.jpg,Подушка велюровая JLP,серый,40X40CM,,"1,000",шт,"932,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,48014,48014.jpg,Подушка велюровая JLP,серый,30X50CM,,"2,000",шт,"932,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,39831,39831.jpg,Подушка для стула  JLP,белый,40X40CM,,"2,000",шт,"816,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,37466,37466.jpg,Подушка серая  JLP,серый,60X60CM,,"3,000",шт,"1924,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,37465,37465.jpg,Подушка серая JLP,серый,60X40CM,,"4,000",шт,"1341,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,50132,50132.jpg,Подушка сине-белая JLP,сине-белый,49X40X20 CM,,"3,000",шт,"699,00",,традиционный
Rvastley,Декор & Разное,Подушки,Декоративные подушки,7954,7954.jpg,Подушка RVA,,40 X 40,,"8,000",шт,"1602,00",,традиционный
Украина,Декор & Разное,Подушки,Декоративные подушки,Chanel рогожка 30x40,CHANEL2.JPG,Подушка Шанель/рогожка  СП,,L30 X W40 CM,,"1,000",шт,"1500,00",,классика
Украина,Декор & Разное,Подушки,Декоративные подушки,Chanel шелк 35x40,CHANEL.JPG,Подушка Шанель/шелк  СП,серый,L35 X W40 CM,шелк,"1,000",шт,"1500,00",шелковая подушка шанель,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,55000119,55000119.JPG,Подушка BL,морской/золотой принт,D45 CM,хлопок,"4,000",шт,"2415,00",,традиционный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,TAP4545/30,TAP454530.JPG,Подушка DD,бежевый,L45 X W45 CM,полиэстр,"1,000",шт,"3675,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,THU4040/OR,THU4040OR.JPG,Подушка DD,оранжевый,L40 X W40 CM,,"1,000",шт,"520,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,THU4040/RED,THU4545RED.jpg,Подушка DD,красный,L40 X W40 CM,,"1,000",шт,"520,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,TON4545/BL,TON4545BL.JPG,Подушка DD,синий,L45 X W45 CM,,"2,000",шт,"520,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,TON4545/LGRI,TON4545LGRI.JPG,Подушка DD,серый,L45 X W45 CM,,"2,000",шт,"450,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,ROC4040A/NA,ROC4040ANA.JPG,Подушка DD,бежевый,L40 X W40 CM,,"7,000",шт,"1313,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,ROC4040C/MIX,ROC4040CMIX.JPG,Подушка DD,смешанные,L40 X W40 CM,,"1,000",шт,"2363,00",,современный
